"date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir,ww,w,sun,vis,clht,clamt"
"04-mar-2018 16:00,0,0.4,0,4.0,0,3.9,3.7,8.0,98,984.2,2,10,2,80,51,55,0.0,1500,3,8"
"04-mar-2018 17:00,0,0.8,0,3.9,0,3.8,3.6,7.9,98,984.1,2,7,2,80,61,65,0.0,2500,5,8"
"04-mar-2018 18:00,0,0.4,0,3.8,0,3.8,3.7,8.0,100,984.2,2,4,2,100,61,65,0.0,800,19,8"
"04-mar-2018 19:00,0,0.4,0,4.3,0,4.2,4.0,8.2,98,984.1,2,5,2,80,61,66,0.0,7000,16,8"
"04-mar-2018 20:00,2,0.0,0,4.2,0,4.0,3.8,8.0,97,984.1,2,6,2,70,61,66,0.0,7000,30,7"
"04-mar-2018 21:00,0,0.2,0,4.0,0,3.9,3.8,8.0,98,984.2,2,6,2,50,21,62,0.0,9000,10,7"
"04-mar-2018 22:00,3,0.0,0,3.6,0,3.4,3.2,7.6,97,984.1,2,6,2,60,10,22,0.0,12000,30,7"
"04-mar-2018 23:00,0,0.8,0,3.7,0,3.6,3.5,7.8,98,984.1,2,5,2,100,21,62,0.0,12000,9,7"
"05-mar-2018 00:00,2,0.0,0,3.4,0,3.3,3.1,7.7,98,984.2,2,4,2,110,21,62,0.0,16000,12,7"
"05-mar-2018 01:00,0,0.2,0,3.5,0,3.4,3.3,7.7,98,983.9,2,5,2,100,21,62,0.0,16000,10,7"
"05-mar-2018 02:00,3,0.0,0,3.4,0,3.4,3.3,7.8,100,983.8,2,5,2,100,2,11,0.0,16000,10,7"
"05-mar-2018 03:00,0,0.2,0,3.4,0,3.4,3.3,7.8,100,983.5,2,6,2,100,21,62,0.0,12000,10,7"
"05-mar-2018 04:00,2,0.0,0,3.2,0,3.1,3.0,7.5,98,983.2,2,4,2,60,60,62,0.0,8000,10,7"
"05-mar-2018 05:00,0,0.2,0,3.6,0,3.6,3.6,7.9,100,983.1,2,5,2,70,58,65,0.0,2500,4,8"
"05-mar-2018 06:00,0,0.2,0,3.0,0,2.9,2.7,7.4,98,983.0,2,6,2,80,21,65,0.0,16000,12,7"
"05-mar-2018 07:00,2,0.0,0,3.1,0,3.0,2.9,7.5,98,982.9,2,6,2,20,20,52,0.0,7000,6,8"
"05-mar-2018 08:00,0,0.4,0,3.4,0,3.4,3.4,7.8,100,983.2,2,5,2,10,58,65,0.0,2400,2,8"
"05-mar-2018 09:00,0,0.6,0,4.1,0,4.0,3.9,8.0,98,983.3,2,3,2,100,58,65,0.0,4500,8,8"
"05-mar-2018 10:00,2,0.0,0,3.5,0,3.3,3.1,7.6,97,983.8,2,2,2,230,50,65,0.0,2000,8,8"
"05-mar-2018 11:00,2,0.0,0,2.9,0,2.8,2.7,7.4,98,984.3,2,9,2,230,50,54,0.0,4000,4,7"
"05-mar-2018 12:00,2,0.0,0,3.3,0,3.2,3.1,7.6,98,984.4,2,9,2,240,50,65,0.1,2500,3,7"
"05-mar-2018 13:00,2,0.0,0,4.2,0,3.8,3.2,7.7,93,984.4,2,9,2,260,20,52,0.0,6000,6,7"
