"message","timestamp","unique_key"
"KBP, [01:05:14],  1","24/06/2018, 01:03:00","24/06/2018, 01:03:006"
"KBP, [01:05:14],  5","24/06/2018, 01:04:02","24/06/2018, 01:04:0211"
"KBP, [01:05:08],  1","28/04/2018, 03:24:25","28/04/2018, 03:24:252249"
"DL, [01:01:00:03:04], 100","28/04/2018, 03:24:26","28/04/2018, 03:24:262250"
"DL, [01:01:00:03:03], 100","28/04/2018, 03:24:27","28/04/2018, 03:24:272251"
"DL, [01:01:00:02:01], 100","28/04/2018, 03:24:29","28/04/2018, 03:24:292252"
"KBP, [01:04:06],  5","24/05/2018, 01:12:51","24/05/2018, 01:12:51269"
"DL, [01:01:02:05:04],   0","24/05/2018, 01:12:52","24/05/2018, 01:12:52270"
"DL, [01:01:02:06:02],   0","24/05/2018, 01:12:53","24/05/2018, 01:12:53271"
"DL, [01:01:00:08:04],   0","24/05/2018, 01:12:55","24/05/2018, 01:12:55272"
"DL, [01:01:01:05:03],   0","24/05/2018, 01:12:56","24/05/2018, 01:12:56273"
"KBR, [01:04:06],  5","24/05/2018, 01:12:57","24/05/2018, 01:12:57274"
"AT&F1E0F1Q1S0=1M0&C0&D0","27/06/2018, 00:59:10","27/06/2018, 00:59:10108"
"DL, [01:01:02:01:03],   0","03/06/2018, 01:52:30","03/06/2018, 01:52:30102"
"KBR, [01:04:01],","03/06/2018, 01:52:31","03/06/2018, 01:52:31103"
"  5","03/06/2018, 01:52:32","03/06/2018, 01:52:32104"
"KBP, [01:04:02],  3","15/05/2018, 01:28:15","15/05/2018, 01:28:152"
"DL, [01:01:02:02:02],   0","15/05/2018, 01:28:17","15/05/2018, 01:28:173"
"DL, [01:01:02:02:03],   0","15/05/2018, 01:28:18","15/05/2018, 01:28:184"
"KBR, [01:04:02],  3","15/05/2018, 01:28:20","15/05/2018, 01:28:205"
"KBP, [01:04:17],  5","03/05/2018, 01:28:00","03/05/2018, 01:28:002817"
"DL, [01:01:02:06:03],   0","03/05/2018, 01:28:01","03/05/2018, 01:28:012818"
"DL, [01:01:02:08:03],   0","03/05/2018, 01:28:02","03/05/2018, 01:28:022819"
"DL, [01:01:02:06:04],   0","03/05/2018, 01:28:03","03/05/2018, 01:28:032820"
"KBR, [01:04:17],  5","03/05/2018, 01:28:04","03/05/2018, 01:28:042821"
"KBP, [01:04:01],  5","06/06/2018, 01:49:12","06/06/2018, 01:49:12322"
"DL, [01:01:02:01:03],   0","06/06/2018, 01:49:13","06/06/2018, 01:49:13323"
"KBR, [01:04:01],  5","06/06/2018, 01:49:14","06/06/2018, 01:49:14324"
"KBP, [01:05:17], 23","09/05/2018, 01:19:30","09/05/2018, 01:19:30336"
"KBH, [01:05:17], 23","09/05/2018, 01:19:32","09/05/2018, 01:19:32337"
"KBR, [01:05:17], 23","09/05/2018, 01:19:33","09/05/2018, 01:19:33338"
"DL, [01:01:00:04:03],   0","09/05/2018, 01:19:35","09/05/2018, 01:19:35339"
"DL, [01:01:00:07:04],   0","09/05/2018, 01:19:36","09/05/2018, 01:19:36340"
"DL, [01:01:01:07:04],   0","09/05/2018, 01:19:37","09/05/2018, 01:19:37341"
"KBP, [01:05:17], 24","09/05/2018, 01:19:39","09/05/2018, 01:19:39342"
"KBR, [01:05:17], 24","09/05/2018, 01:19:40","09/05/2018, 01:19:40343"
"DL, [01:01:00:04:03],   8","09/05/2018, 01:19:41","09/05/2018, 01:19:41344"
"DL, [01:01:00:07:04],   8","09/05/2018, 01:19:42","09/05/2018, 01:19:42345"
"DL, [01:01:01:07:04],   0","09/05/2018, 01:19:44","09/05/2018, 01:19:44346"
"KBP, [01:05:17], 24","09/05/2018, 01:19:45","09/05/2018, 01:19:45347"
"KBR, [01:05:17], 24","09/05/2018, 01:19:46","09/05/2018, 01:19:46348"
"DL, [01:01:00:04:03],  14","09/05/2018, 01:19:47","09/05/2018, 01:19:47349"
"DL, [01:01:00:07:04],  14","09/05/2018, 01:19:48","09/05/2018, 01:19:48350"
"DL, [01:01:01:07:04],   0","09/05/2018, 01:19:49","09/05/2018, 01:19:49351"
"KBP, [01:05:17], 23","09/05/2018, 01:19:50","09/05/2018, 01:19:50352"
"KBR, [01:05:17], 23","09/05/2018, 01:19:51","09/05/2018, 01:19:51353"
"DL, [01:01:00:04:03],  10","09/05/2018, 01:19:53","09/05/2018, 01:19:53354"
"DL, [01:01:00:07:04],  10","09/05/2018, 01:19:54","09/05/2018, 01:19:54355"
"DL, [01:01:01:07:04],   0","09/05/2018, 01:19:55","09/05/2018, 01:19:55356"
"DL, [01:01:01:07:04],   0","03/06/2018, 01:03:00","03/06/2018, 01:03:0090"
"DL, [01:01:01:03:03], 100","08/06/2018, 01:06:00","08/06/2018, 01:06:0037"
"KBR, [01:05:25],  1","08/06/2018, 01:06:01","08/06/2018, 01:06:0138"
"KBP, [01:05:25],  4","08/06/2018, 01:06:03","08/06/2018, 01:06:0339"
"DL, [01:01:01:06:04],   0","08/06/2018, 01:06:04","08/06/2018, 01:06:0440"
"DL, [01:01:01:03:03],   0","08/06/2018, 01:06:06","08/06/2018, 01:06:0641"
"KBR, [01:05:25],  4","08/06/2018, 01:06:07","08/06/2018, 01:06:0742"
"KBP, [01:05:25],  5","08/06/2018, 01:06:08","08/06/2018, 01:06:0843"
"DL, [01:01:01:06:01],   0","08/06/2018, 01:06:09","08/06/2018, 01:06:0944"
"DL, [01:01:01:06:02],   0","08/06/2018, 01:06:11","08/06/2018, 01:06:1145"
"DL, [01:01:01:06:03],   0","08/06/2018, 01:06:12","08/06/2018, 01:06:1246"
"DL, [01:01:00:08:01],   0","08/06/2018, 01:06:13","08/06/2018, 01:06:1347"
"KBR, [01:05:25],  5","08/06/2018, 01:06:14","08/06/2018, 01:06:1448"
"KBP, [01:05:14],  1","08/06/2018, 01:06:16","08/06/2018, 01:06:1649"
"DL, [01:01:00:02:03], 100","08/06/2018, 01:06:17","08/06/2018, 01:06:1750"
"DL, [01:01:00:01:01], 100","08/06/2018, 01:06:18","08/06/2018, 01:06:1851"
"DL, [01:01:01:03:02], 100","08/06/2018, 01:06:19","08/06/2018, 01:06:1952"
"KBR, [01:05:14],  1","08/06/2018, 01:06:21","08/06/2018, 01:06:2153"
"KBP, [01:04:11], 23","05/05/2018, 01:05:18","05/05/2018, 01:05:1842"
"KBH, [01:04:11], 23","05/05/2018, 01:05:20","05/05/2018, 01:05:2043"
"KBR, [01:04:11], 23","05/05/2018, 01:05:22","05/05/2018, 01:05:2244"
"DL, [01:01:02:02:01],   0","05/05/2018, 01:05:23","05/05/2018, 01:05:2345"
"DL, [01:01:01:05:02],   0","05/05/2018, 01:05:24","05/05/2018, 01:05:2446"
"DL, [01:01:01:04:01],   0","05/05/2018, 01:05:26","05/05/2018, 01:05:2647"
"DL, [01:01:02:03:03],   0","29/06/2018, 07:57:04","29/06/2018, 07:57:044"
"DL, [01:01:02:07:04],   0","29/06/2018, 07:57:05","29/06/2018, 07:57:055"
"DL, [01:01:01:05:04],   0","29/06/2018, 07:57:06","29/06/2018, 07:57:066"
"DL, [01:01:02:03:04],   0","29/06/2018, 07:57:07","29/06/2018, 07:57:077"
"DL, [01:01:02:04:04],   0","29/06/2018, 07:57:08","29/06/2018, 07:57:088"
"KBP, [01:05:17], 23","03/06/2018, 01:02:48","03/06/2018, 01:02:4880"
"KBH, [01:05:17], 23","03/06/2018, 01:02:49","03/06/2018, 01:02:4981"
"KBR, [01:05:17], 23","03/06/2018, 01:02:51","03/06/2018, 01:02:5182"
"DL, [01:01:00:04:03],  16","03/06/2018, 01:02:52","03/06/2018, 01:02:5283"
"DL, [01:01:00:07:04],  16","03/06/2018, 01:02:53","03/06/2018, 01:02:5384"
"DL, [01:01:01:07:04],   0","03/06/2018, 01:02:54","03/06/2018, 01:02:5485"
"KBP, [01:05:17], 24","03/06/2018, 01:02:55","03/06/2018, 01:02:5586"
"KBR, [01:05:17], 24","03/06/2018, 01:02:57","03/06/2018, 01:02:5787"
"DL, [01:01:00:04:03],  22","03/06/2018, 01:02:58","03/06/2018, 01:02:5888"
"DL, [01:01:00:07:04],  22","03/06/2018, 01:02:59","03/06/2018, 01:02:5989"
"DL, [01:01:01:04:02], 100","06/05/2018, 01:08:30","06/05/2018, 01:08:30875"
"KBR, [","06/05/2018, 01:08:31","06/05/2018, 01:08:31876"
"01:05:22],  3","06/05/2018, 01:08:32","06/05/2018, 01:08:32877"
"KBDT, [01:05:22],  3","06/05/2018, 01:08:33","06/05/2018, 01:08:33878"
"KBR, [01:05:22],  3","06/05/2018, 01:08:34","06/05/2018, 01:08:34879"
"KBP, [01:05:22],  3","06/05/2018, 01:08:36","06/05/2018, 01:08:36880"
"DL, [01:01:00:04:01],   0","06/05/2018, 01:08:37","06/05/2018, 01:08:37881"
"DL, [01:01:01:08:01],   0","06/05/2018, 01:08:38","06/05/2018, 01:08:38882"
"DL, [01:01:01:04:02],   0","06/05/2018, 01:08:39","06/05/2018, 01:08:39883"
"KBR, [01:05:22],  3","06/05/2018, 01:08:40","06/05/2018, 01:08:40884"
"DL, [01:01:01:03:04], 100","29/04/2018, 01:54:29","29/04/2018, 01:54:29318"
"KBR, [01:05:08],  1","29/04/2018, 01:54:31","29/04/2018, 01:54:31319"
"KBR, [01:04:11],  4","29/05/2018, 03:00:54","29/05/2018, 03:00:54200"
"KBP, [01:04:11], 23","29/05/2018, 03:00:56","29/05/2018, 03:00:56201"
"DL, [01:01:01:04:01],   0","29/05/2018, 03:00:57","29/05/2018, 03:00:57202"
"DL, [01:01:01:05:02],  53","29/05/2018, 03:00:59","29/05/2018, 03:00:59204"
"KBR, [01:04:11], 23","29/05/2018, 03:00:58","29/05/2018, 03:00:58203"
"DL, [01:01:01:04:01],   0","29/05/2018, 03:01:00","29/05/2018, 03:01:00205"
"DL, [01:01:02:02:01],  53","29/05/2018, 03:01:01","29/05/2018, 03:01:01206"
"KBP, [01:04:05],  3","06/07/2018, 12:03:40","06/07/2018, 12:03:4063"
"KBP, [01:04:11],  4","29/05/2018, 03:00:50","29/05/2018, 03:00:50196"
"DL, [01:01:02:02:01], 100","29/05/2018, 03:00:51","29/05/2018, 03:00:51197"
"DL, [01:01:01:05:02], 100","29/05/2018, 03:00:52","29/05/2018, 03:00:52198"
"DL, [01:01:01:04:01], 100","29/05/2018, 03:00:53","29/05/2018, 03:00:53199"
"KBP, [01:05:09], 24","03/05/2018, 01:29:27","03/05/2018, 01:29:272822"
"KBR, [01:05:09], 24","03/05/2018, 01:29:28","03/05/2018, 01:29:282823"
"KBP, [01:05:03], ","04/07/2018, 13:07:12","04/07/2018, 13:07:1242"
" 1","04/07/2018, 13:07:12","04/07/2018, 13:07:1243"
"DL, [01:01:00:02:03],","13/05/2018, 01:02:30","13/05/2018, 01:02:30166"
" 100","13/05/2018, 01:02:31","13/05/2018, 01:02:31167"
"DL, [01:01:00:01:01], 100","13/05/2018, 01:02:32","13/05/2018, 01:02:32168"
"DL, [01:01:01:03:02], 100","13/05/2018, 01:02:33","13/05/2018, 01:02:33169"
"KBR, [01:05:14],  1","13/05/2018, 01:02:34","13/05/2018, 01:02:34170"
"KBP, [01:05:17], 23","01/05/2018, 02:09:09","01/05/2018, 02:09:091563"
"DL, [01:01:01:07:04],   0","01/05/2018, 02:09:11","01/05/2018, 02:09:111564"
"KBH, [01:05:17], 23","01/05/2018, 02:09:12","01/05/2018, 02:09:121565"
"KBR, [01:05:17], 23","01/05/2018, 02:09:14","01/05/2018, 02:09:141566"
"DL, [01:01:00:04:03],  66","01/05/2018, 02:09:15","01/05/2018, 02:09:151567"
"DL, [01:01:00:07:04],  66","01/05/2018, 02:09:16","01/05/2018, 02:09:161568"
"DL, [01:01:01:07:04],   0","01/05/2018, 02:09:17","01/05/2018, 02:09:171569"
"KBP, [01:05:17], 23","01/05/2018, 02:09:19","01/05/2018, 02:09:191570"
"KBH, [01:05:17], 23","01/05/2018, 02:09:20","01/05/2018, 02:09:201571"
"KBR, [01:05:17], 23","01/05/2018, 02:09:22","01/05/2018, 02:09:221572"
"DL, [01:01:00:04:03],  29","01/05/2018, 02:09:23","01/05/2018, 02:09:231573"
"DL, [01:01:00:07:04],  29","01/05/2018, 02:09:24","01/05/2018, 02:09:241574"
"DL, [01:01:01:07:04],   0","01/05/2018, 02:09:25","01/05/2018, 02:09:251575"
"AT&F1E0F1Q1S0=1M0&C0&D0","26/06/2018, 06:54:36","26/06/2018, 06:54:360"
